Country People Capital Maintain PCR Tourism_type Optional1 Optional2 Optional3 Optional4
Australia 8708498 Colorado SouthAmerica 1 Excursion 52 History - - 
China 9695860 Minsk Africa 0 Beach Autumn 0 12 449 
Georgia 1104902 London Antarctica 0 Excursion 13 Art - - 
Britain 8088912 Odessa Europe 1 Sport Surfing 842468 - - 
Ukraine 1729245 Colorado Oceania 1 Sport Skiing 481223 - - 
Russia 2950808 Honkong NorthAmerica 1 Beach Winter 13 2 140 
Australia 404912 Chelyabinsk Oceania 0 Sport Climb 485113 - - 
Ukraine 7574554 London Africa 0 Excursion 10 Art - - 
Germany 6640792 Sochi NorthAmerica 1 Sport Climb 597099 - - 
Australia 2711047 Minsk NorthAmerica 0 Sport Climb 298882 - - 
Australia 5122749 Chelyabinsk Antarctica 0 Beach Autumn -17 29 704 
Russia 1880544 Humburg Africa 1 Excursion 21 Art - - 
Bulgary 5697488 Sochi Antarctica 0 Sport Climb 511736 - - 
Russia 2588166 Moscow Africa 0 Sport Surfing 746091 - - 
USA 3430795 Seul Antarctica 0 Sport Climb 695143 - - 
Britain 4630219 Humburg SouthAmerica 1 Excursion 81 History - - 
Germany 6057232 Honkong Oceania 1 Excursion 58 Art - - 
Germany 3391160 Sochi Oceania 1 Sport Climb 381541 - - 
Russia 6732406 Seul Antarctica 1 Beach Autumn 11 2 350 
Britain 2901592 Minsk Asia 1 Sport Climb 703149 - - 
Ukraine 2728638 Colorado Europe 0 Excursion 31 History - - 
China 9740281 Chelyabinsk NorthAmerica 0 Beach Spring -24 4 632 
Germany 6289069 Odessa Asia 1 Beach Summer 40 4 621 
Britain 5329315 Zavolzhye NorthAmerica 1 Excursion 66 Art - - 
Belarus 5868676 Humburg Europe 0 Sport Surfing 957469 - - 
Germany 6093349 Honkong Oceania 0 Beach Winter 10 20 294 
Australia 1237473 Honkong NorthAmerica 0 Excursion 60 Art - - 
Australia 512107 London Asia 0 Beach Summer 26 23 644 
Georgia 3540264 Honkong SouthAmerica 1 Beach Autumn -24 17 623 
Russia 5621980 Moscow Antarctica 0 Excursion 74 Nature - - 
Ukraine 6485167 Moscow Africa 1 Excursion 3 Nature - - 
Georgia 862335 London Africa 1 Excursion 80 Nature - - 
USA 3746130 Chelyabinsk Africa 1 Beach Winter 19 28 199 
